"name","type","parameter type","unit","low","high","step"
"brand","parameter","category","brand",,,
"coffee amount","parameter","float","gram",10,25,1
"grinder setting","parameter","int","clicks",9,30,1
"anti-static water","parameter","float","microliter",0,400,50
"temperature","parameter","float","celsius",70,100,1
"brewing time","parameter","float","seconds",30,300,10
"pressing time","parameter","float","seconds",5,100,5
"Raafat","score",,,,,
"David","score",,,,,
"Richard","score",,,,,
"Simon","score",,,,,
"Moh","score",,,,,
"Felix","score",,,,,
"Raneem","score",,,,,
"Matthias","score",,,,,
"Mateo","score",,,,,
"Ahmad","score",,,,,
"Christopher","score",,,,,
"Rob","score",,,,,
"Martina","score",,,,,
"Manuel","score",,,,,
"Mihael","score",,,,,
"Ilir","score",,,,,
"Gareth","score",,,,,
